model_name,condition,carbon_source,oxygen_available,objective_value,num_nonzero_fluxes,num_blocked_reactions,blocked_reaction_fraction
iML1515,glucose_aerobic,EX_glc__D_e,True,0.877,431,968,0.3569
iML1515,fructose_aerobic,EX_fru_e,True,0.877,432,967,0.3566
iML1515,galactose_aerobic,EX_gal_e,True,0.8676,436,966,0.3562
iML1515,glycerol_aerobic,EX_glyc_e,True,0.4947,433,973,0.3588
iML1515,succinate_aerobic,EX_succ_e,True,0.4501,430,973,0.3588
iML1515,acetate_aerobic,EX_ac_e,True,0.2101,433,973,0.3588
iML1515,glucose_anaerobic,EX_glc__D_e,False,0.1575,435,1043,0.3846
iJO1366,glucose_aerobic,EX_glc__D_e,True,0.9824,438,878,0.3399
iJO1366,fructose_aerobic,EX_fru_e,True,0.9824,440,889,0.3442
iJO1366,galactose_aerobic,EX_gal_e,True,0.972,445,887,0.3434
iJO1366,glycerol_aerobic,EX_glyc_e,True,0.5628,436,894,0.3461
iJO1366,succinate_aerobic,EX_succ_e,True,0.4925,438,894,0.3461
iJO1366,acetate_aerobic,EX_ac_e,True,0.2472,441,894,0.3461
iJO1366,glucose_anaerobic,EX_glc__D_e,False,0.2415,447,935,0.362
