model_name,model_id,condition,carbon_source,oxygen_available,carbon_uptake,solution_status,objective_value,num_reactions,num_metabolites,num_genes,num_nonzero_fluxes,num_zero_fluxes,num_blocked_reactions,blocked_reaction_fraction
iML1515,iML1515,glucose_aerobic,EX_glc__D_e,True,10,optimal,0.8769972144269811,2712,1877,1516,431,2281,968,0.35693215339233036
iML1515,iML1515,fructose_aerobic,EX_fru_e,True,10,optimal,0.8769972144269852,2712,1877,1516,432,2280,967,0.35656342182890854
iML1515,iML1515,galactose_aerobic,EX_gal_e,True,10,optimal,0.8675930236572137,2712,1877,1516,436,2276,966,0.3561946902654867
iML1515,iML1515,glycerol_aerobic,EX_glyc_e,True,10,optimal,0.49471349241791396,2712,1877,1516,433,2279,973,0.3587758112094395
iML1515,iML1515,succinate_aerobic,EX_succ_e,True,10,optimal,0.45008625725638773,2712,1877,1516,430,2282,973,0.3587758112094395
iML1515,iML1515,acetate_aerobic,EX_ac_e,True,10,optimal,0.2100992046653058,2712,1877,1516,433,2279,973,0.3587758112094395
iML1515,iML1515,glucose_anaerobic,EX_glc__D_e,False,10,optimal,0.15753981693759,2712,1877,1516,435,2277,1043,0.38458702064896755
iJO1366,iJO1366,glucose_aerobic,EX_glc__D_e,True,10,optimal,0.9823718127269785,2583,1805,1367,438,2145,878,0.33991482771970577
iJO1366,iJO1366,fructose_aerobic,EX_fru_e,True,10,optimal,0.9823718127269758,2583,1805,1367,440,2143,889,0.34417344173441733
iJO1366,iJO1366,galactose_aerobic,EX_gal_e,True,10,optimal,0.9720026781193384,2583,1805,1367,445,2138,887,0.34339914827719703
iJO1366,iJO1366,glycerol_aerobic,EX_glyc_e,True,10,optimal,0.5627902551524894,2583,1805,1367,436,2147,894,0.34610917537746805
iJO1366,iJO1366,succinate_aerobic,EX_succ_e,True,10,optimal,0.4924842152416095,2583,1805,1367,438,2145,894,0.34610917537746805
iJO1366,iJO1366,acetate_aerobic,EX_ac_e,True,10,optimal,0.24719886872863708,2583,1805,1367,441,2142,894,0.34610917537746805
iJO1366,iJO1366,glucose_anaerobic,EX_glc__D_e,False,10,optimal,0.24150155709717983,2583,1805,1367,447,2136,935,0.3619821912504839
