model_name,reaction_id,found
iML1515,EX_glc__D_e,True
iML1515,EX_fru_e,True
iML1515,EX_gal_e,True
iML1515,EX_glyc_e,True
iML1515,EX_succ_e,True
iML1515,EX_ac_e,True
iML1515,EX_o2_e,True
iML1515,EX_nh4_e,True
iML1515,EX_pi_e,True
iML1515,EX_h2o_e,True
iML1515,EX_h_e,True
iML1515,EX_k_e,True
iML1515,EX_na1_e,True
iML1515,EX_so4_e,True
iML1515,EX_cl_e,True
iML1515,EX_mg2_e,True
iML1515,EX_ca2_e,True
iML1515,EX_fe2_e,True
iML1515,EX_fe3_e,True
iJO1366,EX_glc__D_e,True
iJO1366,EX_fru_e,True
iJO1366,EX_gal_e,True
iJO1366,EX_glyc_e,True
iJO1366,EX_succ_e,True
iJO1366,EX_ac_e,True
iJO1366,EX_o2_e,True
iJO1366,EX_nh4_e,True
iJO1366,EX_pi_e,True
iJO1366,EX_h2o_e,True
iJO1366,EX_h_e,True
iJO1366,EX_k_e,True
iJO1366,EX_na1_e,True
iJO1366,EX_so4_e,True
iJO1366,EX_cl_e,True
iJO1366,EX_mg2_e,True
iJO1366,EX_ca2_e,True
iJO1366,EX_fe2_e,True
iJO1366,EX_fe3_e,True
